gene_name	localisation
GSTO2	Nucleoli
GSTO2	Nucleoplasm
PRKCQ	Centriolar-satellite
TLE2	Nuclear-bodies
ASB1	Nucleoplasm
FAM107B	Nucleoplasm
TBC1D1	Nucleoli
CDK13	Nuclear-speckles
MTHFD2	Mitochondria
SLC9A7	Vesicles
FOXJ2	Nucleoplasm
YBX1	Cytosol
PDE4A	Plasma-membrane
PPP2R5A	Cytosol
ELAVL1	Nucleoplasm
DIP2B	Endoplasmic-reticulum
SMARCD1	Nucleoplasm
KDM4A	Nucleoli-fibrillar-center
NFYC	Nucleoplasm
ZMYND12	Nucleoplasm
SLC9A3	Plasma-membrane
NGEF	Cytosol
NGEF	Plasma-membrane
ASPM	Cytosol
ASPM	Plasma-membrane
CD84	Plasma-membrane
ELOVL1	Endoplasmic-reticulum
SPI1	Nucleoplasm
POLR1H	Nucleoli-fibrillar-center
MPPED2	Nucleoli
CLDN18	Cell-Junctions
ZBTB11	Nucleoplasm
ATXN3	Nucleoli
